Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2011","2011","1000 ha","315","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2011","2011","%","17.32","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2012","2012","1000 ha","315","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2012","2012","%","17.38","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2013","2013","1000 ha","319","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2013","2013","%","17.71","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2014","2014","1000 ha","319","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2014","2014","%","17.87","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2015","2015","1000 ha","319","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2015","2015","%","17.81","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2016","2016","1000 ha","323.5","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2016","2016","%","18.2","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2017","2017","1000 ha","328","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2017","2017","%","18.42","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2018","2018","1000 ha","330","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2018","2018","%","18.51","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2019","2019","1000 ha","333","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2019","2019","%","18.75","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2020","2020","1000 ha","343","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2020","2020","%","19.2","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6650","Cultivos permanentes","2021","2021","1000 ha","368","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7208","Proporción de tierras agrícolas","6650","Cultivos permanentes","2021","2021","%","20.32","E","Valor estimado",""
