Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1961","1961","ha","500","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1961","1961","100 g/ha","10400","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1961","1961","toneladas","520","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1962","1962","ha","700","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1962","1962","100 g/ha","10357","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1962","1962","toneladas","725","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1963","1963","ha","900","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1963","1963","100 g/ha","10444","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1963","1963","toneladas","940","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1964","1964","ha","1100","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1964","1964","100 g/ha","10182","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1964","1964","toneladas","1120","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1965","1965","ha","900","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1965","1965","100 g/ha","10089","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1965","1965","toneladas","908","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1966","1966","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1966","1966","100 g/ha","10158","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1966","1966","toneladas","965","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1967","1967","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1967","1967","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1967","1967","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1968","1968","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1968","1968","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1968","1968","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1969","1969","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1969","1969","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1969","1969","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1970","1970","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1970","1970","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1970","1970","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1971","1971","ha","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1971","1971","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1971","1971","toneladas","950","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1972","1972","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1972","1972","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1972","1972","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1973","1973","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1973","1973","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1973","1973","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1974","1974","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1974","1974","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1974","1974","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1975","1975","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1975","1975","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1975","1975","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1976","1976","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1976","1976","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1976","1976","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1977","1977","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1977","1977","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1977","1977","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1978","1978","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1978","1978","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1978","1978","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1979","1979","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1979","1979","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1979","1979","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1980","1980","ha","1000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1980","1980","100 g/ha","10000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1980","1980","toneladas","1000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1981","1981","ha","1000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1981","1981","100 g/ha","10000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1981","1981","toneladas","1000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1982","1982","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1982","1982","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1982","1982","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1983","1983","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1983","1983","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1983","1983","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1984","1984","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1984","1984","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1984","1984","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1985","1985","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1985","1985","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1985","1985","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1986","1986","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1986","1986","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1986","1986","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1987","1987","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1987","1987","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1987","1987","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1988","1988","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1988","1988","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1988","1988","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1989","1989","ha","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1989","1989","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1989","1989","toneladas","1000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1990","1990","ha","1038","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1990","1990","100 g/ha","8632","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1990","1990","toneladas","896","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1991","1991","ha","1205","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1991","1991","100 g/ha","10256","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1991","1991","toneladas","1235.79","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1992","1992","ha","1197","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1992","1992","100 g/ha","10284","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1992","1992","toneladas","1231.33","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1993","1993","ha","1100","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1993","1993","100 g/ha","10000","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1993","1993","toneladas","1100","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1994","1994","ha","1180","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1994","1994","100 g/ha","10356","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1994","1994","toneladas","1222.29","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1995","1995","ha","1178","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1995","1995","100 g/ha","10435","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1995","1995","toneladas","1229.05","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1996","1996","ha","1175","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1996","1996","100 g/ha","10515","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1996","1996","toneladas","1235.79","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1997","1997","ha","1173","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1997","1997","100 g/ha","10595","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1997","1997","toneladas","1242.51","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1998","1998","ha","1170","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1998","1998","100 g/ha","10676","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1998","1998","toneladas","1249.19","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","1999","1999","ha","1167","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","1999","1999","100 g/ha","10757","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","1999","1999","toneladas","1255.84","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2000","2000","ha","1166","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2000","2000","100 g/ha","10840","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2000","2000","toneladas","1263.56","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2001","2001","ha","1162","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2001","2001","100 g/ha","10924","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2001","2001","toneladas","1269.84","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2002","2002","ha","1159","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2002","2002","100 g/ha","11009","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2002","2002","toneladas","1276.07","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2003","2003","ha","1156","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2003","2003","100 g/ha","11095","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2003","2003","toneladas","1282.23","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2004","2004","ha","1256","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2004","2004","100 g/ha","11148","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2004","2004","toneladas","1400","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2005","2005","ha","1209","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2005","2005","100 g/ha","11166","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2005","2005","toneladas","1350","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2006","2006","ha","1162","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2006","2006","100 g/ha","11186","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2006","2006","toneladas","1300","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2007","2007","ha","1115","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2007","2007","100 g/ha","11209","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2007","2007","toneladas","1250","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2008","2008","ha","1068","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2008","2008","100 g/ha","11234","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2008","2008","toneladas","1200","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2009","2009","ha","1105","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2009","2009","100 g/ha","11262","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2009","2009","toneladas","1244.43","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2010","2010","ha","1103","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2010","2010","100 g/ha","11292","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2010","2010","toneladas","1245.67","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2011","2011","ha","1101","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2011","2011","100 g/ha","11326","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2011","2011","toneladas","1246.8","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2012","2012","ha","1050","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2012","2012","100 g/ha","11429","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2012","2012","toneladas","1200","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2013","2013","ha","1050","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2013","2013","100 g/ha","11667","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2013","2013","toneladas","1225","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2014","2014","ha","1064","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2014","2014","100 g/ha","11569","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01929.07","Abaca, cañamo de manila en bruto","2014","2014","toneladas","1230.72","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5312","Área cosechada","01929.07","Abaca, cañamo de manila en bruto","2015","2015","ha","1067","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5419","Rendimiento","01929.07","Abaca, cañamo de manila en bruto","2015","2015","100 g/ha","11537","E","Valor estimado",""
